Date,lag 1,lag 2,lag 3,lag 4,lag 5,lag 6,lag 7,lag 8,lag 9,lag 10,lag 11,lag 12
2011-01-31,,,,,,,,,,,,
2011-02-28,-0.007260261897657599,,,,,,,,,,,
2011-03-31,-0.003518146150510444,-0.007260261897657599,,,,,,,,,,
2011-04-30,-0.005980163650295701,-0.003518146150510444,-0.007260261897657599,,,,,,,,,
2011-05-31,0.005785849583405702,-0.005980163650295701,-0.003518146150510444,-0.007260261897657599,,,,,,,,
2011-06-30,-0.0032922161389333177,0.005785849583405702,-0.005980163650295701,-0.003518146150510444,-0.007260261897657599,,,,,,,
2011-07-31,-0.002290536606388162,-0.0032922161389333177,0.005785849583405702,-0.005980163650295701,-0.003518146150510444,-0.007260261897657599,,,,,,
2011-08-31,0.00605675359955787,-0.002290536606388162,-0.0032922161389333177,0.005785849583405702,-0.005980163650295701,-0.003518146150510444,-0.007260261897657599,,,,,
2011-09-30,0.0008165680317901367,0.00605675359955787,-0.002290536606388162,-0.0032922161389333177,0.005785849583405702,-0.005980163650295701,-0.003518146150510444,-0.007260261897657599,,,,
2011-10-31,0.0007187884902360442,0.0008165680317901367,0.00605675359955787,-0.002290536606388162,-0.0032922161389333177,0.005785849583405702,-0.005980163650295701,-0.003518146150510444,-0.007260261897657599,,,
2011-11-30,-0.006350920924577326,0.0007187884902360442,0.0008165680317901367,0.00605675359955787,-0.002290536606388162,-0.0032922161389333177,0.005785849583405702,-0.005980163650295701,-0.003518146150510444,-0.007260261897657599,,
2011-12-31,0.0024820341513676937,-0.006350920924577326,0.0007187884902360442,0.0008165680317901367,0.00605675359955787,-0.002290536606388162,-0.0032922161389333177,0.005785849583405702,-0.005980163650295701,-0.003518146150510444,-0.007260261897657599,
2012-01-31,-0.006575646489430117,0.0024820341513676937,-0.006350920924577326,0.0007187884902360442,0.0008165680317901367,0.00605675359955787,-0.002290536606388162,-0.0032922161389333177,0.005785849583405702,-0.005980163650295701,-0.003518146150510444,-0.007260261897657599
2012-02-29,0.0005803500532645875,-0.006575646489430117,0.0024820341513676937,-0.006350920924577326,0.0007187884902360442,0.0008165680317901367,0.00605675359955787,-0.002290536606388162,-0.0032922161389333177,0.005785849583405702,-0.005980163650295701,-0.003518146150510444
